      Acc.(g)          P05          P50          P95        PMEAN
   1.8100E+00   4.1355E-06   1.7048E-03   8.1762E-02   1.7582E-02
   1.8200E+00   3.7344E-06   1.5822E-03   7.8610E-02   1.6944E-02
   1.8300E+00   3.3668E-06   1.4726E-03   7.5563E-02   1.6329E-02
   1.8400E+00   3.0357E-06   1.3779E-03   7.2620E-02   1.5736E-02
   1.8500E+00   2.7341E-06   1.2868E-03   6.9776E-02   1.5165E-02
   1.8600E+00   2.4614E-06   1.2015E-03   6.7031E-02   1.4616E-02
   1.8700E+00   2.2105E-06   1.1228E-03   6.4380E-02   1.4086E-02
   1.8800E+00   1.9794E-06   1.0473E-03   6.1847E-02   1.3575E-02
   1.8900E+00   1.7792E-06   9.7673E-04   5.9515E-02   1.3084E-02
   1.9000E+00   1.5996E-06   9.0651E-04   5.7295E-02   1.2610E-02
   1.9100E+00   1.4382E-06   8.4085E-04   5.5243E-02   1.2154E-02
   1.9200E+00   1.2931E-06   7.8022E-04   5.3256E-02   1.1714E-02
   1.9300E+00   1.1628E-06   7.3232E-04   5.1332E-02   1.1290E-02
   1.9400E+00   1.0456E-06   6.8154E-04   4.9470E-02   1.0882E-02
   1.9500E+00   9.4030E-07   6.3391E-04   4.7669E-02   1.0489E-02
   1.9600E+00   8.4566E-07   5.8986E-04   4.5926E-02   1.0110E-02
   1.9700E+00   7.6058E-07   5.4690E-04   4.4241E-02   9.7455E-03
   1.9800E+00   6.8411E-07   5.0703E-04   4.2611E-02   9.3939E-03
   1.9900E+00   6.1537E-07   4.7027E-04   4.1035E-02   9.0552E-03
   2.0000E+00   5.5357E-07   4.3857E-04   3.9444E-02   8.7288E-03
