#S1SEISMIC-1        
--------------------------------------------------------
    Acc.   Failure_P   Cont.(%)        Cumul.  Cumul.(%)
   1.825  1.0459E-10     0.003%    3.2092E-06    99.967%
   1.835  9.8161E-11     0.003%    3.2093E-06    99.970%
   1.845  9.2123E-11     0.003%    3.2094E-06    99.973%
   1.855  8.6451E-11     0.003%    3.2095E-06    99.976%
   1.865  8.1123E-11     0.003%    3.2096E-06    99.978%
   1.875  7.6119E-11     0.002%    3.2097E-06    99.981%
   1.885  7.1419E-11     0.002%    3.2097E-06    99.983%
   1.895  6.7005E-11     0.002%    3.2098E-06    99.985%
   1.905  6.2860E-11     0.002%    3.2099E-06    99.987%
   1.915  5.8968E-11     0.002%    3.2099E-06    99.989%
   1.925  5.5314E-11     0.002%    3.2100E-06    99.991%
   1.935  5.1884E-11     0.002%    3.2100E-06    99.992%
   1.945  4.8664E-11     0.002%    3.2101E-06    99.994%
   1.955  4.5641E-11     0.001%    3.2101E-06    99.995%
   1.965  4.2804E-11     0.001%    3.2102E-06    99.996%
   1.975  4.0141E-11     0.001%    3.2102E-06    99.998%
   1.985  3.7643E-11     0.001%    3.2103E-06    99.999%
   1.995  3.5298E-11     0.001%    3.2103E-06   100.000%
 
 
#S1SEISMIC-3        
--------------------------------------------------------
    Acc.   Failure_P   Cont.(%)        Cumul.  Cumul.(%)
   0.105  1.3472E-14     0.000%    1.3472E-14     0.000%
   0.115  5.6897E-14     0.000%    7.0369E-14     0.000%
   0.125  1.9734E-13     0.000%    2.6770E-13     0.000%
   0.135  5.8168E-13     0.000%    8.4938E-13     0.000%
   0.145  1.4966E-12     0.000%    2.3460E-12     0.000%
   0.155  3.4331E-12     0.001%    5.7791E-12     0.001%
   0.165  7.1410E-12     0.001%    1.2920E-11     0.002%
   0.175  1.3656E-11     0.002%    2.6576E-11     0.004%
   0.185  2.4286E-11     0.004%    5.0863E-11     0.008%
   0.195  4.0545E-11     0.006%    9.1408E-11     0.014%
   0.205  4.5580E-11     0.007%    1.3699E-10     0.022%
   0.215  7.1818E-11     0.011%    2.0881E-10     0.033%
   0.225  1.0840E-10     0.017%    3.1720E-10     0.050%
   0.235  1.5749E-10     0.025%    4.7469E-10     0.075%
   0.245  2.2116E-10     0.035%    6.9585E-10     0.110%
   0.255  3.0127E-10     0.048%    9.9712E-10     0.158%
   0.265  3.9933E-10     0.063%    1.3964E-09     0.221%
   0.275  5.1644E-10     0.082%    1.9129E-09     0.303%
   0.285  6.5319E-10     0.103%    2.5661E-09     0.406%
   0.295  8.0963E-10     0.128%    3.3757E-09     0.534%
   0.305  7.9437E-10     0.126%    4.1701E-09     0.660%
   0.315  9.7111E-10     0.154%    5.1412E-09     0.813%
   0.325  1.1691E-09     0.185%    6.3103E-09     0.998%
   0.335  1.3877E-09     0.220%    7.6980E-09     1.218%
   0.345  1.6260E-09     0.257%    9.3240E-09     1.475%
   0.355  1.8825E-09     0.298%    1.1207E-08     1.773%
   0.365  2.1555E-09     0.341%    1.3362E-08     2.114%
   0.375  2.4429E-09     0.386%    1.5805E-08     2.500%
   0.385  2.7423E-09     0.434%    1.8547E-08     2.934%
   0.395  3.0511E-09     0.483%    2.1598E-08     3.417%
   0.405  2.8912E-09     0.457%    2.4490E-08     3.874%
   0.415  3.2048E-09     0.507%    2.7694E-08     4.381%
   0.425  3.5267E-09     0.558%    3.1221E-08     4.939%
   0.435  3.8545E-09     0.610%    3.5076E-08     5.549%
   0.445  4.1859E-09     0.662%    3.9262E-08     6.211%
   0.455  4.5183E-09     0.715%    4.3780E-08     6.925%
   0.465  4.8495E-09     0.767%    4.8629E-08     7.693%
   0.475  5.1769E-09     0.819%    5.3806E-08     8.512%
   0.485  5.4984E-09     0.870%    5.9305E-08     9.381%
   0.495  5.8118E-09     0.919%    6.5116E-08    10.301%
   0.505  5.4399E-09     0.861%    7.0556E-08    11.161%
   0.515  5.7458E-09     0.909%    7.6302E-08    12.070%
   0.525  6.0439E-09     0.956%    8.2346E-08    13.026%
   0.535  6.3325E-09     1.002%    8.8678E-08    14.028%
   0.545  6.6103E-09     1.046%    9.5289E-08    15.074%
   0.555  6.8756E-09     1.088%    1.0216E-07    16.161%
   0.565  7.1274E-09     1.127%    1.0929E-07    17.289%
   0.575  7.3644E-09     1.165%    1.1666E-07    18.454%
   0.585  7.5858E-09     1.200%    1.2424E-07    19.654%
   0.595  7.7906E-09     1.232%    1.3203E-07    20.886%
   0.605  7.0901E-09     1.122%    1.3912E-07    22.008%
   0.615  7.2943E-09     1.154%    1.4642E-07    23.161%
   0.625  7.4848E-09     1.184%    1.5390E-07    24.345%
   0.635  7.6611E-09     1.212%    1.6156E-07    25.557%
   0.645  7.8228E-09     1.237%    1.6939E-07    26.795%
   0.655  7.9695E-09     1.261%    1.7736E-07    28.055%
